,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
19,"Marshall Major III Bluetooth Wireless On-Ear Headphone, Brown",,,"[{'info': 'Product Dimensions', 'value': '6.3 x 6.3 x 3.4 inches'}, {'info': 'Item Weight', 'value': '6.3 ounces'}, {'info': 'ASIN', 'value': 'B07CMFBJM7'}, {'info': 'Item model number', 'value': '4092187'}, {'info': 'Batteries', 'value': '1 Lithium Polymer batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.6 out of 5 stars 8,104 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.6 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#1,581 in On-Ear Headphones'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'October 3, 2018'}, {'info': 'Manufacturer', 'value': 'Zound Industries'}]",Z's Essentials,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3G5NP1LKGJ9F6&isAmazonFulfilled=1,,,/Marshall-Major-Bluetooth-Wireless-Headphone/product-reviews/B07CMFBJM7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,AfterShokz OpenMove Wireless Bone Conduction Open-Ear Bluetooth Headphones Includes Pack,,,"[{'info': 'Product Dimensions', 'value': '4.76 x 3.94 x 1771.65 inches'}, {'info': 'Item Weight', 'value': '1.06 ounces'}, {'info': 'ASIN', 'value': 'B08BZDR3ZT'}, {'info': 'Item model number', 'value': 'AS660'}, {'info': 'Batteries', 'value': '1 Lithium Polymer batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.6 out of 5 stars 3,790 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.6 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#58 in Over-Ear Headphones'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'Yes'}, {'info': 'Date First Available', 'value': 'August 22, 2020'}, {'info': 'Manufacturer', 'value': 'AfterShokz'}]",,,,,/AfterShokz-OpenMove-Conduction-Bluetooth-Headphones/product-reviews/B08BZDR3ZT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
