,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
42,"Amazon Basics 13.3"" Professional Laptop Case Sleeve Bag (With Retractable Handle) - Black","[{'info': 'Brand', 'value': '\u200eAmazon Basics'}, {'info': 'Item model number', 'value': '\u200eAMSL19022'}, {'info': 'Item Weight', 'value': '\u200e13.7 ounces'}, {'info': 'Product Dimensions', 'value': '\u200e14 x 10.5 x 1.2 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e14 x 10.5 x 1.2 inches'}, {'info': 'Color', 'value': '\u200eBlack'}, {'info': 'Manufacturer', 'value': '\u200eAmazon Basics'}, {'info': 'ASIN', 'value': '\u200eB07QKCLMGH'}, {'info': 'Date First Available', 'value': '\u200eAugust 15, 2019'}]","[{'info': 'Standing screen display size', 'value': '\u200e13.3 Inches'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.5 out of 5 stars 1,620 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.5 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#2,037 in Laptop Sleeves'}]",,,,,/AmazonBasics-Professional-Laptop-Sleeve-Retractable/product-reviews/B07QKCLMGH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,"Bewahly Vertical Laptop Stand[Adjustable Size],Aluminum Adjustable Laptop Holder, Saving Space, Suitable for MacBook Pro/Air, iPad, Samsung, Huawei, Surface, Dell, HP, Lenovo and Others (Gray)",,,"[{'info': 'Product Dimensions', 'value': '5.91 x 3.74 x 1.77 inches'}, {'info': 'Item Weight', 'value': '14.6 ounces'}, {'info': 'ASIN', 'value': 'B08BNH48Q6'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.9 out of 5 stars 228 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.9 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#11,996 in Office Products ( See Top 100 in Office Products ) #120 in Laptop Stands #261 in Office Carts & Stands'}, {'info': 'Date First Available', 'value': 'October 9, 2020'}, {'info': 'Manufacturer', 'value': 'Bewahly'}]",Bewahly US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2J4M3KPDYQN0H&isAmazonFulfilled=1,,,/Bewahly-Vertical-Adjustable-Aluminum-Suitable/product-reviews/B08BNH48Q6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
