,product title,url,rating,price €,review_count,product
12,"LincPlus P1 Laptop Full HD 13,3 Zoll Ultrabook, Intel Celeron N4000 4GB RAM 64GB eMMC aufrüstbar mit bis zu 512GB SSD lüfterlos kompakter Aluminium Notebook mit QWERTZ Tastaturlayout, Windows 10 S",https://www.amazon.com/LincPlus-Deutsches-Tastatur-Notebook-Ultrabook/dp/B07H96DZVB/ref=sr_1_13?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-13,4.1 / 5,279.00 ,1.079,Laptops
13,"LincPlus P3 Laptop Full HD 14 Zoll Ultrabook, Intel Celeron N3350 4GB RAM 64GB eMMC aufrüstbar mit bis zu 512GB SSD Windows 10 S，lüfterlos kompakter Aluminium Notebook mit QWERTZ Tastaturlayout.",https://www.amazon.com/LincPlus-Ultrabook-aufr%C3%BCstbar-S%EF%BC%8Cl%C3%BCfterlos-Tastaturlayout/dp/B08P4XRD8X/ref=sr_1_14?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-14,3.8 / 5,269.00 ,68,Laptops
14,"Dell Inspiron 14 5405, 14.0 Zoll FHD, AMD Ryzen™ 5 4500U, 8GB RAM, 512GB SSD, Win10 Home",https://www.amazon.com/Dell-Inspiron-RyzenTM-4500U-512GB/dp/B08MPYJDMY/ref=sr_1_15?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-15,4.0 / 5,599.00 ,14,Laptops
15,Jumper Laptop 13.3 Zoll FHD Notebook (4GB DDR3 64GB eMMC Microsoft Office 365 Erweiterbarer Speicher 1TB SSD und 256GB TF Dualband WiFi Windows 10 Bluetooth 4.2 Intel CPU),https://www.amazon.com/Jumper-Quad-core-Graphic-Windows-Profession001/dp/B081RC6X91/ref=sr_1_16?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-16,4.1 / 5,279.99 ,183,Laptops
16,"ASUS Notebook (15,6 Zoll Full HD matt 144Hz) AMD Ryzen 7 4800H OctaCore, 8GB RAM, 512GB SSD, NVIDIA GeForce RTX 2060 6GB 90W, Windows 10 Pro + ASUS TUF Gaming Maus M5",https://www.amazon.com/Notebook-OctaCore-NVIDIA-GeForce-Windows/dp/B08YRG7T6C/ref=sr_1_17?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-17,4.4 / 5,1.149.00 ,717,Laptops
17,"Laptop CHUWI HeroBook Pro,14.1 Full HD (1920X 1080) IPS-Display, 4K Video Dekodierung,Intel N4020 Prozessor,Windows 10 Home,8GB LPDDR4,256GB SSD,WiFi 2.4G,BT 4.0,USB 3.0,HDMI",https://www.amazon.com/CHUWI-HeroBook-Ultrabook-Geminil-Windows/dp/B083B8L7Q9/ref=sr_1_18?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-18,4.0 / 5,349.00 ,2.264,Laptops
20,"Amazon Basics – Stadtrucksack aus Leinen, für Laptops bis 38 cm (15 Zoll), grün",https://www.amazon.com/AmazonBasics-Stadtrucksack-Leinen-Laptops-Zoll/dp/B07QRZJRNH/ref=sr_1_21?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-21,4.6 / 5,18.27 ,48,Laptops
21,"Laptop 10.1 Zoll Notebook , Windows 10 Quad Core Netbook Computer, Full HD IPS-Display Leptop, Netflix,YouTube,WiFi,HDMI, mit Laptoptasche, Maus, Mauspad, Kopfhörer (Schwarz)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A07730692SUFD46W2X7MM&url=%2FNotebook-Computer-IPS-Display-Laptoptasche-Kopfh%25C3%25B6rer%2Fdp%2FB094D3YY8B%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-22-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_mtf,4.5 / 5,219.99 ,11,Laptops
22,"15,6-Zoll-Laptop (Intel Celeron 64-Bit, 6 GB DDR3-RAM, 128 GB SSD, 10000 mAh Akku, HD-Webcam, Windows 10 Pro OS vorinstalliert, 1920 * 1080 FHD IPS-Display)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A01087631KGYW9XTPZWIP&url=%2F6-Zoll-Laptop-DDR3-RAM-HD-Webcam-vorinstalliert-IPS-Display%2Fdp%2FB08XGDRVXV%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-23-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_mtf,3.0 / 5,288.99 ,17,Laptops
23,"Acer Chromebook 15 Zoll (CB315-3HT-C47Q) (ChromeOS, Laptop, FHD Touch-Display, Akkulaufzeit: Bis zu 12,5 Stunden, 4 GB LPDDR4 RAM / 64 GB eMMC, 1,63 Kg leicht, 20,3 mm dünn)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A02745512TWH0FWB9G942&url=%2FAcer-Chromebook-Touchscreen-Akkulaufzeit-schnelles%2Fdp%2FB08695884X%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-24-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_mtf,4.4 / 5,299.00 ,290,Laptops
24,"Lenovo Legion 5 Laptop 39,6 cm (15,6 Zoll, 1920x1080, FHD, WideView, 300nits, entspiegelt) Gaming Notebook (AMD Ryzen 7 5800H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 3060, Win 10 Home) dunkelblau",https://www.amazon.com/Lenovo-1920x1080-WideView-entspiegelt-dunkelblau/dp/B08THLYWM5/ref=sr_1_25?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-25,4.6 / 5,1.449.00 ,226,Laptops
25,"Lenovo Yoga Slim 7 Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView) EVO Slim Notebook (Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe-Grafik, Windows 10 Home) grau",https://www.amazon.com/Lenovo-1920x1080-WideView-i7-1165G7-Xe-Grafik/dp/B08NXGCWDT/ref=sr_1_26?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-26,4.3 / 5,1.099.00 ,162,Laptops
26,"Microsoft Surface Laptop Go, 12,45 Zoll Laptop (Intel Core i5, 8GB RAM, 128GB SSD, Win 10 Home in S Mode) Sandstein",https://www.amazon.com/Microsoft-Surface-Laptop-Intel-Sandstein/dp/B08J7SP374/ref=sr_1_27?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-27,4.4 / 5,711.00 ,227,Laptops
27,"Lenovo IdeaPad 3i Laptop 43,9 cm (17,3 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Slim Notebook (Intel Pentium Gold 7505, 8GB RAM, 512GB SSD, Intel UHD-Grafik, Windows 10 Home) grau",https://www.amazon.com/Lenovo-1920x1080-WideView-entspiegelt-UHD-Grafik/dp/B08THP1Y4F/ref=sr_1_28?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-28,4.3 / 5,599.00 ,53,Laptops
28,"CHUWI UBook Tablet mit Tastatur und H6 Stift, 11,6 Zoll IPS Touchscreen Windows 10 Tablet PC 2 in 1, Intel Gemini-Lake N4100 Quad-Cores, 8GB RAM 256GB SSD, BT5.0, Dual Band Wi-Fi, Type-C, USB3.0",https://www.amazon.com/CHUWI-UBook-1-Tablet-Gemini-Lake-N4100/dp/B082Y3DZNS/ref=sr_1_29?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-29,4.0 / 5,288.15 ,999,Laptops
29,"HP (17,3 Zoll) Notebook (Intel N4020 2Core 2x2.60 GHz, 8GB RAM, 512 GB SSD, DVD±RW, Intel HD600, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10 Prof. 64 Bit, #6748",https://www.amazon.com/HP-Notebook-Bluetooth-Windows-6748/dp/B095X3SN8G/ref=sr_1_30?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-30,4.3 / 5,444.00 ,520,Laptops
30,"2019 Apple MacBook Pro (16"", 16GB RAM, 512GB Speicherplatz) - Space Grau",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A0675017214U66BBEP9PT&url=%2FNeues-Apple-MacBook-Speicherplatz-Core-i7%2Fdp%2FB081FW6TPQ%2Fref%3Dsr_1_31_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-31-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_btf,4.7 / 5,2.351.95 ,1.073,Laptops
31,Toshiba Canvio Flex 2TB Silver 2.5p,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A03861762MZ9F1OAVWKW9&url=%2FToshiba-Canvio-Flex-Silver-2-5p%2Fdp%2FB08J4B9WMC%2Fref%3Dsr_1_32_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-32-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_btf,4.7 / 5,67.99 ,84.681,Laptops
32,"TECLAST F5 Laptop 11,6 Zoll, 360° Convertible Notebook 8GB RAM + 256GB SSD Windows 10, 1920X1080FHD IPS Touchscreen Ultrabook, Intel Celeron N4100 Prozessor 2.4G/5G WLAN Micro-HMDI Typ-C (999g)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A06107382H24CZO6IR36U&url=%2FTECLAST-Reversibel-1920x1080-Bildschirm-Bluetooth%2Fdp%2FB089KJPHVN%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-33-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_btf,4.0 / 5,399.99 ,162,Laptops
33,Asus F Series - 15.6 Inch FHD - Intel Celeron N4020 - 8 GB RAM - 250 GB SSD - Windows 10 Pro # with Wireless Mouse + Laptop Bag,https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg22_1?ie=UTF8&adId=A08473733QFA93SMTKQ5R&url=%2FAsus-Celeron-Windows-Wireless-Laptop%2Fdp%2FB08PVPHYJC%2Fref%3Dsr_1_505_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-505-spons%26psc%3D1&qualifier=1625649428&id=7559633167826350&widgetName=sp_atf_next,4.6 / 5,469.00,35,Laptops
34,Dell P2421DC,https://www.amazon.com/-/en/DELL-P2421DC-Dell-P2421DC/dp/B085XD8NV3/ref=sr_1_506?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-506,4.4 / 5,279.90,18,Laptops
35,"Accele USB 3.0 Hub, Compatible with MacBook/MacBook Air/iMac/Huawei Mate 30 and Other Windows Laptops, USB A 4 Ports Hub, 4 Feet Long Cable (1.2 m)",https://www.amazon.com/-/en/Accele-Compatible-MacBook-Windows-Laptops/dp/B07RLFK46J/ref=sr_1_507?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-507,4.6 / 5,16.99,2.085,Laptops
36,"OMOTON 2.4G Wireless Keyboard with Numeric Keypad German Layout Compatible with Windows 10/8/7/Vista/XP Wireless Keyboard with USB Receiver for Computers, PCs, Laptops, Notebooks, Tablets, Silver",https://www.amazon.com/-/en/OMOTON-Wireless-Compatible-Computers-Notebooks/dp/B086PGK9VV/ref=sr_1_508?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-508,4.2 / 5,22.99,642,Laptops
37,"Hama Laptop Adjustable with Two Fans, USB, Black",https://www.amazon.com/-/en/Hama-Laptop-Adjustable-Fans-Black/dp/B00ZVZ70HK/ref=sr_1_509?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-509,4.3 / 5,25.53,45,Laptops
38,"Vaydeer 2 Tier Monitor Stand Aluminium Monitor Stand Riser with Storage Space, Metal Monitor Stand Support up to 27 Inches for PC, MacBook, Laptops - Silver, Large",https://www.amazon.com/-/en/Vaydeer-Monitor-Aluminium-Storage-Support/dp/B08BF72Z83/ref=sr_1_510?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-510,4.7 / 5,79.99,67,Laptops
39,"Hseok 15.6 Inch Laptop Case, Shockproof Waterproof PC Sleeve Compatible with Most 15.6 Inch Laptops Dell/HP/Lenovo/Acer/Ausu, Blue Marble",https://www.amazon.com/-/en/Laptop-Shockproof-Waterproof-Compatible-Laptops/dp/B091YBPMXK/ref=sr_1_511?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-511,4.6 / 5,27.16,10.264,Laptops
